Model,RMSE,MAE,R2_Score,MAPE,MSE
Linear Regression,399.7539123300425,264.02967917069884,0.5691985540507276,62.443405015028105,159803.1904231753
Ridge Regression,400.9427473504533,263.9171942955914,0.5666324083368292,62.41707832662586,160755.08665292943
Lasso Regression,401.82966149744294,264.25916616465753,0.564713007294027,62.72817705407374,161467.0768591496
Support Vector Regression,429.8331478159588,259.3395516761927,0.5019287024297416,44.14784578844588,184756.53496137587
XGBoost,306.3518130876288,185.76207209143175,0.7469929536554031,42.61331422401145,93851.43338207743
Random Forest,316.178452030643,195.69251144337093,0.7305015669345328,42.225573663038546,99968.81352849359
Neural Network,335.2601946831679,206.41043112906067,0.6969908853892008,42.771231580519434,112399.39813899566
